id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres
12950,1973,Love & Anarchy,124,7.9,Lina Wertmüller,Lina Wertmüller,Euro International Film-Labrador Films,Comedy-Drama-Romance
12951,1981,Ghost Story,110,6.3,John Irvin,Peter Straub-Lawrence D. Cohen,Universal Pictures,Drama-Horror-Thriller
12952,2005,The God Who Wasn't There,62,6.9,Brian Flemming,Brian Flemming,Beyond Belief Media,Documentary-Biography-History
12953,1972,The Getaway,123,7.5,Sam Peckinpah,Walter Hill-Jim Thompson,First Artists-Solar Productions-Foster-Brower Productions,Action-Crime-Thriller
12954,1999,Merle Haggard in Concert,,7.5,,,,Documentary-Music
12955,2001,The Perfect Wife,90,5.1,Don E. FauntLeRoy,Frank Rehwaldt-George Saunders-Richard Dana Smith,The Image Organization-World International Network,Drama-Thriller
12956,2000,Angel: Season 2,,,,,,
12957,2004,Greendale,21,,,,DIC Entertainment-Les Studios Tex,Animation-Family
12958,1991,Home Improvement: Season 1,,,,,,
12959,2004,Poker: More Secrets of No-Limit Hold 'Em,,,,,,
12960,2001,Inspiracion,92,5.8,Angel M. Huerta,Angel M. Huerta,Huma Films-Ilusión Film Entertainment,Comedy-Romance
12961,2000,Sally Hemings: An American Scandal,251,7.1,Charles Haid,Tina Andrews,CBS Productions-Craig Anderson Productions-Bad Boy Worldwide Entertainment Group,Biography-Drama-History-Romance
12962,2000,Phir Bhi Dil Hai Hindustani,160,6.3,Aziz Mirza,Sanjay Chhel-Raaj Kumar Dahima-Manoj Lalwani,Dreamz Unlimited,Comedy-Drama-Musical-Romance
12963,2003,Brush With Fate,100,6.3,Brent Shields,Susan Vreeland-Richard Russo,Hallmark Hall of Fame Productions,Drama
12964,2005,Pride FC: Pride Fighting Legacy: Vol. 2,,,,,,
12965,1974,Kolchak: The Night Stalker: The Complete Series,,,,,,
12966,2004,The Aviator,170,7.5,Martin Scorsese,John Logan,Forward Pass-Appian Way-IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG-Initial Entertainment Group (IEG)-Warner Bros.-Miramax-Cappa Productions-Mel's Cite du Cinema,Biography-Drama
12967,2005,Elaan,159,4.5,Vikram Bhatt,Robin Bhatt-Vikram Bhatt,Venus Films,Action-Thriller
12968,1982,Nature: Horses,,,,,,
12969,2000,Great Trains of America: Western Railroading,,,,,,
12970,1982,Firefox,136,5.9,Clint Eastwood,Alex Lasker-Wendell Wellman-Craig Thomas,Major Studio Partners-The Malpaso Company,Action-Adventure-Thriller
12971,2003,Dracula: Pages from a Virgin's Diary,,,,,,
12972,2000,A Regular Frankie Fan: Rocky Horror Lives On,72,8.2,Scott Mabbutt,Scott Mabbutt,BAP Productions-Lighthead Productions LLC-Magick Films,Documentary
12973,2000,Hera Pheri,156,8.2,Priyadarshan,Siddique-Lal-Neeraj Vora,A.G. Films,Action-Comedy-Crime-Musical-Thriller
12974,1993,Benny and Joon,98,7.2,Jeremiah S. Chechik,Barry Berman-Lesley McNeil-Barry Berman,Metro-Goldwyn-Mayer-Roth-Arnold Productions,Comedy-Drama-Romance
12975,1997,Open Your Eyes,117,7.8,Alejandro Amenábar,Alejandro Amenábar-Mateo Gil,Canal+ España-Las Producciones del Escorpión-Les Films Alain Sarde-Lucky Red-Sociedad General de Televisión,Drama-Mystery-Romance-Sci-Fi-Thriller
12976,1968,Yours,111,7.2,Melville Shavelson,Helen Eileen Beardsley-Bob Carroll Jr.-Madelyn Davis,Desilu Productions-Walden Productions,Comedy-Family
12977,1974,Free to Be You and Me,48,7.8,Bill Davis-Len Steckler-Fred Wolf,Bruce Hart-Norman Steinberg-Alan Uger,Free to Be Foundation-Murakami-Wolf Productions,Animation-Family-Musical
12978,1931,Monkey Business,77,7.6,Norman Z. McLeod,S.J. Perelman-Will B. Johnstone-Arthur Sheekman,Paramount Pictures,Comedy-Musical
12979,2002,The Adventures of Ociee Nash,,,,,,
12980,2004,Life as We Know It: The Complete Series,,,,,,
12981,1992,La Sentinelle,139,6.8,Arnaud Desplechin,Arnaud Desplechin-Pascale Ferran-Noémie Lvovsky,Why Not Productions-2001 Audiovisuel-La Sept Cinéma-Films A2-Canal+-Investimage 3-Sofiarp-Centre National de la Cinématographie (CNC)-Procirep,Thriller
12982,2004,Craig Shoemaker: Live: That's a True Story!,,,,,,
12983,1995,Trainspotting: Collector's Edition: Bonus Material,,,,,,
12984,1951,Radar Men from the Moon,,,,,,
12985,2005,Tom and Jerry: Spotlight Collection: Vol. 2,,,,,,
12986,1995,The Prophecy,98,6.5,Gregory Widen,Gregory Widen,First Look International-NEO Motion Pictures-Overseas FilmGroup,Action-Crime-Drama-Fantasy-Horror-Mystery-Thriller
12987,1999,Lain #3: Deus,,,,,,
12988,1949,The Fighting Kentuckian,100,6.5,George Waggner,George Waggner,John Wayne Productions,Adventure-Romance-War-Western
12989,1986,Big Trouble,93,5.3,John Cassavetes,Andrew Bergman,Columbia Pictures-Delphi III Productions,Comedy
12990,2000,Carnivore,80,2.5,Joseph Kurtz-Kenneth Mader,Joseph Kurtz-Kenneth Mader,Maderfilm Productions,Horror-Sci-Fi
12991,2001,The Affair of the Necklace,118,6.1,Charles Shyer,John Sweet,Alcon Entertainment,Drama-History-Romance
12992,2005,Socha Na Tha,137,7.5,Imtiaz Ali,Imtiaz Ali,Dharmendra-Vijayta Films,Romance-Comedy
12993,1999,The John Wayne Collection: Vol. 3: The Dawn Rider / The Trail Beyond,,,,,,
12994,1998,One Tough Cop,90,5.2,Bruno Barreto,Bo Dietl-Ken Gross-Jeremy Iacone,Patriot Pictures,Action-Crime
12995,1983,Andy Kaufman: The Andy Kaufman Show: Soundstage,,,,,,
12996,1997,Operation Delta Force 2,105,3.8,Yossi Wein,Danny Lerner-David Sparling,Martien Holdings A.V.V.-Millennium Films,Action-Thriller
12997,2004,Seed of Chucky,87,4.9,Don Mancini,Don Mancini-Don Mancini,Rogue Pictures-David Kirschner Productions-Castel Film Romania-La Sienega Productions,Comedy-Fantasy-Horror-Thriller
12998,1979,All Quiet on the Western Front,123,7.1,Delbert Mann,Paul Monash-Erich Maria Remarque,Norman Rosemont Productions-Marble Arch Productions-ITC Entertainment Group,Drama-War
12999,2003,Nip/Tuck: Season 1,,,,,,
13000,1983,Armored Trooper Votoms Stage 3: Deadworld Sunsa,,,,,,
13001,1983,Basket Case,48,7.7,Ivan Dixon,Donald P. Bellisario-Glen A. Larson-Julie Friedgen,Belisarius Productions-Glen A. Larson Productions-Universal Television,Action-Adventure-Crime-Drama-Mystery-Thriller
13002,1989,A Nightmare on Elm Street 5: The Dream Child,89,5.1,Stephen Hopkins,Wes Craven-John Skipp-Craig Spector,New Line Cinema-Heron Communications-Smart Egg Pictures-The Fourth New Line-Heron Joint Venture,Fantasy-Horror
13003,1999,The Jaundiced Eye,89,6.9,Nonny de la Peña,Nonny de la Peña,Fifth Estate Productions-Pyedog Productions,Documentary
13004,1972,Butterflies Are Free,109,7.2,Milton Katselas,Leonard Gershe-Leonard Gershe,Frankovich Productions,Comedy-Drama-Music-Romance
13005,2001,Sacrificio: Who Betrayed Che Guevara?,60,7.3,Erik Gandini-Tarik Saleh,,Atmo Media Network-Sveriges Television,Documentary
13006,1979,Soap: Season 3,,,,,,
13007,1975,Dog Day Afternoon,125,8.0,Sidney Lumet,Frank Pierson-P.F. Kluge-Thomas Moore,Warner Bros.-Artists Entertainment Complex,Biography-Crime-Drama-Thriller
13008,1997,Mrs. Dalloway,97,6.8,Marleen Gorris,Eileen Atkins-Virginia Woolf,First Look International-Bayly/Paré Productions-Bergen Film & TV-Newmarket Capital Group-BBC Films-European Co-production Fund-Nederlandse Programma Stichting-Dutch Co-Production Fund-Nederlands Fonds voor de Film,Drama-Romance
13009,2004,Yoga: Step by Step,54,,,,,
13010,1996,Angels and Insects,,,Don DuPree,,Buena Vista Television,Talk-Show
13011,2000,Kaho Naa Pyaar Hai,172,6.9,Rakesh Roshan,Rakesh Roshan-Sagar Sarhadi-Honey Irani,Film Kraft,Action-Romance
13012,2003,Genius,,,,,,
13013,1982,Simon and Garfunkel: Concert in Central Park,,,,,,
13014,1992,Forever Knight: The Trilogy: Part 1,,,,,,
13015,1987,The Lost Boys: Special Edition,,,,,,
13016,2004,Agatha Christie's Poirot: The Hollow,,,,,,
13017,2002,Dragon Ball: Commander Red Saga,,,,,,
13018,1968,Spirits of the Dead,121,6.6,Federico Fellini-Louis Malle-Roger Vadim,Edgar Allan Poe-Roger Vadim-Pascal Cousin,Les Films Marceau-Produzioni Europee Associate-Cocinor,Drama-Horror-Mystery
13019,2004,1421: The Year China Discovered America?,113,6.5,David Wallace,William Cran-David Wallace,Paladin InVision-Penguin Television,Documentary
13020,1977,Jabberwocky,105,6.2,Terry Gilliam,Lewis Carroll-Charles Alverson-Terry Gilliam,Python Films-Umbrella Entertainment Productions,Adventure-Comedy-Fantasy
13021,1999,Travel the World by Train: North America,60,6.5,Graham Loveridge,,,Documentary
13022,1972,Lucio Fulci: Don't Torture a Duckling,,,,,,
13023,1990,Rosencrantz and Guildenstern Are Dead,117,7.5,Tom Stoppard,Tom Stoppard,Brandenberg-WNET Channel 13 New York,Comedy-Drama
13024,1973,Scream,,,,,,
13025,2004,Cavedweller,101,5.7,Lisa Cholodenko,Dorothy Allison-Anne Meredith,Cavedweller Productions Ltd.-Dufferin Gate Productions-Orly Adelson Productions-Showtime Networks,Drama-Music
13026,1998,Raped By an Angel 2: Uniform Fan,89,5.1,Aman Chang,Jing Wong,Jing's Production-Young Filmmakers Ltd.,Action-Comedy-Horror-Romance
13027,2005,WWE: The Great American Bash 2005,180,6.0,Kevin Dunn,Court Bauer-Christopher DeJoseph-Rudy Fischmann,World Wrestling Entertainment,Sport
13028,1992,Doing Time on Maple Drive,92,7.1,Ken Olin,James Duff,FNM Films,Drama
13029,2005,Inside Deep Throat,89,6.7,Fenton Bailey-Randy Barbato,Fenton Bailey-Randy Barbato,Imagine Entertainment-HBO Documentary Films-World of Wonder-Home Box Office-World of Wonder Productions,Documentary-Biography-History
13030,1999,To Serve and Protect,169,5.9,Jean de Segonzac,Vincent Patrick,Lakeside Productions-Wolper Organization,Thriller-Crime-Drama
13031,1989,Star Trek: The Next Generation: Season 3,,,,,,
13032,2004,The Stone Cold Truth,,7.2,Kevin Dunn,,World Wrestling Entertainment (WWE),Action
13033,2000,Death Row Uncut,,,,,,
13034,1954,Knights of the Round Table,,,,,,
13035,2004,Mind Hunters,106,6.4,Renny Harlin,Wayne Kramer-Wayne Kramer-Kevin Brodbin,Dimension Films-Intermedia Films-Outlaw Productions-Avenue Pictures-Weed Road Pictures-Mindhunters (UK) Limited-Mindhunters Productie BV-Tonna Oy-Outlaw Victoria Productions Inc.-Egmond Film & Television,Crime-Horror-Mystery-Thriller
13036,2004,Lingerie Bowl 2004: The Ultimate Catfight,,,,,,
13037,1994,Main Khiladi Tu Anari,175,6.9,Sameer Malkan,Sachin Bhowmick-Kader Khan,United Seven Combines-Venus Records & Tapes,Action-Comedy-Drama-Romance
13038,1996,Sci-Fighters,94,4.4,Peter Svatek,Mark Sevi,Shostak/Rossner Productions,Sci-Fi
13039,1997,Paradise Road,122,6.8,Bruce Beresford,David Giles-Martin Meader-Bruce Beresford,Samson Productions Pty. Ltd.-Planet Pictures-YTC Motion Picture Investments-Village Roadshow Pictures,Drama-History-War
13040,1977,Day of the Animals,97,5.4,William Girdler,William W. Norton-Eleanor E. Norton-Edward L. Montoro,Film Ventures International-Mid-America Pictures-Montoro Productions Ltd.,Horror-Sci-Fi-Thriller
13041,1987,The Believers,114,6.1,John Schlesinger,Mark Frost-Nicholas Conde,Orion Pictures,Crime-Drama-Horror-Mystery-Thriller
13042,2001,Will & Grace: Season 4,,,,,,
13043,1986,Hard Lessons,100,6.1,Eric Laneuville,Charles Eric Johnson,Landsburg Company,Biography-Drama
13044,2003,Crunch: Fat-Burning Pilates,,,,,,
13045,1998,Don't Let Me Die on a Sunday,86,5.4,Didier Le Pêcheur,Didier Le Pêcheur,Program 33,Drama
13046,2005,Mysterious Skin,24,7.9,Iginio Straffi,Francesco Artibani-Petra Bagnardi-Doug Booth,Rai Fiction-Rainbow S.r.l,Animation-Action-Adventure-Family-Fantasy-Thriller
13047,2002,What's New Scooby-Doo?,30,7.2,,Jordana Arkin-Joseph Barbera-Chris Brown,Warner Bros. Animation-Warner Bros. Television-Cartoon Network-Hanna-Barbera Productions-Warner Bros.,Animation-Comedy-Family-Mystery
13048,1969,Battle of Britain,132,7.0,Guy Hamilton,James Kennaway-Wilfred Greatorex-Derek Dempster,Spitfire Productions,Action-Drama-History-War
13049,2002,The Jimmy Show,,,,,,
13050,2002,Two Weeks Notice,101,6.1,Marc Lawrence,Marc Lawrence,Castle Rock Entertainment-Village Roadshow Pictures-NPV Entertainment-Fortis Films,Comedy-Romance
13051,2004,Ghost in the Shell: Stand Alone Complex,,8.6,Junichi Fujisaku,Shirow Masamune-Marc Handler-Dai Satô,Cavia-Epics-Production I.G.-Sony Computer Entertainment,Action-Crime-Mystery-Sci-Fi-Thriller
13052,1993,What's Eating Gilbert Grape,118,7.8,Lasse Hallström,Peter Hedges-Peter Hedges,Paramount Pictures,Drama
13053,1965,The Beast that Killed Women/ The Monster of Camp Sunshine,,,,,,
13054,2004,Pingu: Chillin' with Pingu,,,,,,
13055,1981,Rocky (Hindi),,,,,,
13056,1999,Bicentennial Man,132,6.9,Chris Columbus,Isaac Asimov-Isaac Asimov-Robert Silverberg,1492 Pictures-Columbia Pictures-Laurence Mark Productions-Radiant Productions-Touchstone Pictures,Comedy-Drama-Sci-Fi
13057,1942,Val Lewton: Cat People / The Curse of the Cat People,,,,,,
13058,1991,Backdraft,137,6.7,Ron Howard,Gregory Widen,Imagine Films Entertainment-Trilogy Entertainment Group,Action-Crime-Drama-Mystery-Thriller
13059,1983,The Man Who Loved Women,110,5.2,Blake Edwards,Blake Edwards-Milton Wexler-Geoffrey Edwards,Delphi Films-Columbia Pictures,Comedy-Drama-Romance
13060,2004,Rockets Redglare,,,,,,
13061,1973,Lady Snowblood,97,7.7,Toshiya Fujita,Kazuo Kamimura-Kazuo Koike-Norio Osada,Toho Film (Eiga) Co. Ltd.,Action-Drama-Thriller
13062,2000,Buzz Lightyear of Star Command: The Adventure Begins,70,6.1,Tad Stones,Mark McCorkle-Robert Schooley-Bill Motz,Walt Disney Pictures-Pixar Animation Studios-Disney Television Animation,Animation-Action-Adventure-Comedy-Family-Sci-Fi
13063,1997,That Darn Cat,89,4.6,Bob Spiers,Gordon Gordon-Mildred Gordon-Gordon Gordon,Robert Simonds Productions-Walt Disney Pictures,Action-Comedy-Crime-Family-Mystery
13064,1996,Danielle Steel's Remembrance,96,6.1,Bethany Rooney,Danielle Steel-David Ambrose,Cramer Co.-NBC Productions,Drama-Romance
13065,2004,Clifford's Really Big Movie,74,5.5,Robert C. Ramirez-Steve Trenbirth,Rhett Reese-Robert C. Ramirez-Norman Bridwell,Big Red Dog Productions-Scholastic Productions-Mike Young Productions,Animation-Adventure-Comedy-Family
13066,2000,Bullfighter,90,2.5,Rune Bendixen,Rune Bendixen-Rune Bendixen-Majken Gilmartin,Gilmartin Film-MainPix-Scanbox Entertainment,Action-Fantasy-Western
13067,2004,The 24th Day,92,6.6,Tony Piccirillo,Tony Piccirillo,Big Teddy Films-Nazz Productions,Thriller
13068,1997,Oscar and Lucinda,132,6.7,Gillian Armstrong,Peter Carey-Laura Jones,Australian Film Finance Corporation-Dalton Films-Fox Searchlight Pictures-Meridian Films-New South Wales Film & Television Office,Drama-Romance
13069,2001,Learning Guitar for Dummies,,,,,,
13070,2002,Down and Out With the Dolls,,,,,,
13071,2000,Daydream Believers: The Monkees Story,92,6.0,Neill Fearnley,Ron McGee-Harold Bronson,Canadian Film or Video Production Tax Credit (CPTC)-Chum Television-Ontario Film and Television Tax Credit (OFTTC)-Pebblehut Productions-Rhino Films-SuperChannel-The Movie Network (TMN),Biography-Drama-Music
13072,1987,Nuts,116,6.8,Martin Ritt,Tom Topor-Tom Topor-Darryl Ponicsan,Warner Bros.-Barwood Films,Drama-Thriller
13073,1946,It's a Wonderful Life,130,8.6,Frank Capra,Frances Goodrich-Albert Hackett-Frank Capra,Liberty Films (II),Drama-Family-Fantasy
13074,2002,The Transporter,92,6.8,Louis Leterrier-Corey Yuen,Luc Besson-Robert Mark Kamen,EuropaCorp-TF1 Films Production-Current Entertainment-Canal+,Action-Crime-Thriller
13075,2004,Inheritance,89,4.7,Kris Kristensen,Kris Kristensen-Brian McDonald,Scotopia Pictures-Solitaire Films LLC,Drama-Horror-Thriller
13076,1948,Call Northside 777,112,7.4,Henry Hathaway,Jerome Cady-Jay Dratler-Leonard Hoffman,Twentieth Century Fox,Drama-Film-Noir
13077,1981,Friday the 13th: Part 2,87,6.1,Steve Miner,Ron Kurz-Victor Miller-Sean S. Cunningham,Georgetown Productions Inc.-Sean S. Cunningham Films,Horror-Mystery-Thriller
13078,2004,WWE: Bad Blood '04,180,7.3,Kevin Dunn,,World Wrestling Entertainment,Action-Sport
13079,1976,The Best Way to Walk,82,7.4,Claude Miller,Claude Miller-Luc Béraud-Claude Miller,AMLF-Filmoblic-Cinémag-Contrechamp,Drama-Romance
13080,1943,Destination Tokyo,135,7.2,Delmer Daves,Steve Fisher-Delmer Daves-Albert Maltz,Warner Bros.,Adventure-History-War
13081,2004,Troy,163,7.2,Wolfgang Petersen,Homer-David Benioff,Warner Bros.-Helena Productions-Latina Pictures-Radiant Productions-Plan B Entertainment-Nimar Studios,Drama-History
13082,1974,Chinatown,130,8.2,Roman Polanski,Robert Towne-Roman Polanski,Paramount Pictures-Penthouse Video-Long Road Productions-Robert Evans Company,Drama-Mystery-Thriller
13083,1988,A Short Film About Killing,84,8.1,Krzysztof Kieslowski,Krzysztof Kieslowski-Krzysztof Piesiewicz,"Zespol Filmowy ""Tor""",Crime-Drama
13084,1997,Mystery Science Theater 3000: Prince of Space,92,8.0,Kevin Murphy,Joel Hodgson-Michael J. Nelson-Paul Chaplin,Best Brains,Comedy-Sci-Fi
13085,1991,Bikini Summer,87,3.9,Robert Veze,Nick Stone-Robert Veze,PM Entertainment Group,Comedy
13086,1998,Relax ... It's Just Sex,110,6.9,P.J. Castellaneta,P.J. Castellaneta,Forefront Films-Sneak Preview Entertainment,Comedy
13087,2004,A Home at the End of the World,97,6.7,Michael Mayer,Michael Cunningham-Michael Cunningham,Hart Sharp Entertainment-John Wells Productions-Killer Films-Plymouth Projects-True Film Fund-Window Pane Pictures,Drama-Romance
13088,1999,Mystery Science Theater 3000: The Girl in Gold Boots,93,7.6,Kevin Murphy,Joel Hodgson-Michael J. Nelson-Paul Chaplin,Best Brains,Comedy-Sci-Fi
13089,1991,Talent for the Game,91,6.0,Robert M. Young,David Himmelstein-Thomas Michael Donnelly-Larry Ferguson,Paramount Pictures,Drama-Sport
13090,2002,Notorious C.H.O.,95,7.0,Lorene Machado,Margaret Cho,Cho Taussig Productions-Little Men Entertainment,Documentary-Comedy
13091,1993,Malice,107,6.4,Harold Becker,Aaron Sorkin-Jonas McCord-Aaron Sorkin,Castle Rock Entertainment-New Line Cinema-Nelvana,Crime-Mystery-Thriller
13092,1975,The Hindenburg,125,6.2,Robert Wise,Richard Levinson-William Link-Michael M. Mooney,The Filmakers Group-Universal Pictures,Adventure-Drama-History-Thriller
13093,1971,The Trojan Women,105,7.1,Michael Cacoyannis,Euripides-Edith Hamilton-Michael Cacoyannis,Josef Shaftel Productions Inc.,Drama
13094,1999,SpongeBob SquarePants: Lost at Sea,,,,,,
13095,1998,The Rat Pack,120,6.7,Rob Cohen,Kario Salem,HBO Films-Original Film,Drama-Musical
13096,1934,Twentieth Century,91,7.8,Howard Hawks,Charles Bruce Millholland-Ben Hecht-Charles MacArthur,Columbia Pictures,Comedy-Romance
13097,2003,Andaaz,145,5.6,Raj Kanwar,Robin Bhatt-Shyam Goel-Jainendra Jain,Shree Krishna International,Drama-Musical-Romance
13098,2001,The Animal,84,4.8,Luke Greenfield,Tom Brady-Tom Brady-Rob Schneider,Revolution Studios-Happy Madison Productions,Comedy-Sci-Fi
13099,1946,The Spiral Staircase,83,7.5,Robert Siodmak,Mel Dinelli-Ethel Lina White,RKO Radio Pictures-Dore Schary Productions-Vanguard Films,Drama-Mystery-Thriller
13100,1989,Kiki's Delivery Service,103,7.9,Hayao Miyazaki,Eiko Kadono-Hayao Miyazaki,Kiki's Delivery Service Production Committee-Nibariki-Nippon Television Network-Studio Ghibli-Tokuma Shoten-Yamato Transport,Animation-Adventure-Drama-Family-Fantasy
13101,1999,Short #2: Dreams,,,,,,
13102,2000,Coyote Ugly,100,5.7,David McNally,Gina Wendkos,Jerry Bruckheimer Films-Touchstone Pictures,Comedy-Drama-Music-Romance
13103,1998,The Dinner Game,80,7.7,Francis Veber,Francis Veber,Gaumont-EFVE-TF1 Films Production-TPS Cinéma,Comedy
13104,1989,Thelonious Monk: Straight,,,,,,Talk-Show
13105,2000,Manilow: Live,115,9.0,Lawrence Jordan,,,Documentary-Music
13106,1993,Iron Maiden: Raising Hell,113,8.2,,,,Documentary
13107,1958,Touch of Evil,95,8.0,Orson Welles,Orson Welles-Whit Masterson-Franklin Coen,Universal International Pictures (UI),Crime-Drama-Film-Noir-Thriller
13108,2003,Little House on the Prairie: Journey in the Spring,,,,,,
13109,2005,Batman vs. Dracula,83,6.7,Michael Goguen-Seung Eun Kim-Sam Liu,Duane Capizzi-Bob Kane-Michael Jelenic,DC Comics-Warner Bros. Animation,Animation-Action-Horror-Thriller
13110,2000,The Book of Stars,,,,,,
13111,1999,The Best of Ripley's Believe It or Not,,,,,,
13112,2003,Anna in Kung Fu Land,97,4.2,Wai Man Yip,Hing-Ka Chan-Man-Lung Ho-Ho Leung Lau,Universe Entertainment-Henan Film Studio-China Film Co-Production Corporation-People's Productions Limited,Action-Comedy-Romance
13113,1978,The Betsy,125,5.0,Daniel Petrie,Harold Robbins-William Bast-Walter Bernstein,Harold Robbins International Company,Drama
13114,1985,The Twilight Zone: The 80s: Season 1,,,,,,
13115,2004,Raise Your Voice,103,5.9,Sean McNamara,Mitch Rotter-Sam Schreiber,New Line Cinema-FilmEngine-ChickFlicks Productions-Brookwell-McNamara Entertainment,Family-Music-Musical-Romance
13116,1979,Unidentified Flying Oddball,93,5.2,Russ Mayberry,Don Tait-Don Tait-Mark Twain,Walt Disney Productions,Comedy-Family-Adventure-Fantasy-Sci-Fi
13117,1987,Gunsmoke: Return to Dodge,100,7.1,Vincent McEveety,Jim Byrnes,CBS Entertainment Production-CBS,Adventure-Western
13118,2000,The League of Gentlemen: Christmas Special,60,8.6,Steve Bendelack,Mark Gatiss-Steve Pemberton-Reece Shearsmith,British Broadcasting Corporation,Comedy-Horror
13119,1987,Ernest Goes to Camp,92,5.5,John R. Cherry III,John R. Cherry III-Coke Sams-Steve Leasure,Emshell Producers-Silver Screen Partners III-Touchstone Pictures,Comedy-Family
13120,1988,I Love Maria,96,6.1,David Chung-Hark Tsui,Kai-Chi Yuen-Hark Tsui,Film Workshop-Golden Harvest Company-Golden Princess Film Production Limited,Comedy-Sci-Fi
13121,1946,The Strange Love of Martha Ivers,116,7.5,Lewis Milestone,Robert Rossen-John Patrick-Robert Riskin,Hal Wallis Productions,Drama-Film-Noir-Romance
13122,1975,Hera Pheri,,,,,,
13123,1976,MASH: Season 5,,,,,,
13124,1961,The Errand Boy,92,6.5,Jerry Lewis,Jerry Lewis-Bill Richmond,Jerry Lewis Productions-Paramount Pictures,Comedy-Family
13125,1988,Scooby-Doo and the Ghoul School,92,7.0,Charles A. Nichols-Ray Patterson,Glenn Leopold,Hanna-Barbera Productions-Taft Broadcasting,Animation-Comedy-Family-Fantasy-Horror
13126,2004,Relative Evil,,,,,,
13127,2003,The Hard Road,,7.6,Jamie Paolinetti,Jamie Paolinetti,Atwater Playhouse,Documentary
13128,1987,Wall Street,126,7.4,Oliver Stone,Stanley Weiser-Oliver Stone,Twentieth Century Fox-American Entertainment Partners L.P.-Amercent Films,Crime-Drama
13129,1998,Sex and the City: Season 1,,,,,,
13130,1952,Sudden Fear,110,7.5,David Miller,Lenore J. Coffee-Robert Smith-Edna Sherry,Joseph Kaufman Productions,Film-Noir-Thriller
13131,1978,Edward & Mrs. Simpson,350,7.6,Waris Hussein,Andrew Brown-Frances Donaldson-Simon Raven,Thames Television,Drama-History-Romance
13132,1990,Hetty Wainthropp: Missing Persons,105,7.1,,,,
13133,2000,Sunset Strip,90,5.7,Adam Collis,Randall Jahnson-Randall Jahnson-Russell DeGrazier,Fox 2000 Pictures-Art Linson Productions-Linson Films,Comedy-Drama
13134,1963,Three Stooges 75th Anniversary Edition,,,,,,
13135,1976,Assault on Precinct 13,91,7.4,John Carpenter,John Carpenter,CKK,Action-Crime-Thriller
13136,2004,Thomas & Friends: Thomas and the Jet Engine,,,,,,
13137,2000,Two Shades of Blue,,,,,,
13138,2004,NFL: History of the Oakland Raiders,,,,,,
13139,1987,Maurice,140,7.7,James Ivory,E.M. Forster-Kit Hesketh-Harvey-James Ivory,Merchant Ivory Productions-Cinecom Pictures-Film Four International,Drama-Romance
13140,2001,Green Dragon,115,6.4,Timothy Linh Bui,Timothy Linh Bui-Timothy Linh Bui-Tony Bui,Franchise Classics-Franchise Pictures-Rickshaw FIlms-Spirit Dance Entertainment-TGD Productions,Drama
13141,1978,Rumpole of the Bailey: Series 1 and 2,,,,,,
13142,2002,Elvis: His Best Friend Remembers,130,5.8,Terry Moloney,Terry Moloney,Proletariat Filmworks,Documentary
13143,2003,Selena Live: The Last Concert,,,,,,
13144,1993,Mystery Science Theater 3000: Eegah!,92,8.1,Joel Hodgson,Joel Hodgson-Michael J. Nelson-Trace Beaulieu,Best Brains,Comedy-Sci-Fi
13145,1998,Ghulam,162,7.3,Vikram Bhatt,Anjum Rajabali,NH Studioz,Action-Crime-Drama-Thriller
13146,2004,Gunslinger Girl,23,7.3,Morio Asaka,Yu Aida-Kazuyuki Fudeyasu-David Haynes,,Animation-Action-Drama-Sci-Fi
13147,1915,Chaplin's Essanay Comedies: Vol. 1,,,,,,
13148,1995,Anatomy of Desire,48,6.5,Peter Tyler Boullata-Jean-François Monette,David Wilson,Bare Bone Films-National Film Board of Canada,Documentary
13149,1940,Foreign Correspondent,120,7.6,Alfred Hitchcock,Charles Bennett-Joan Harrison-James Hilton,Walter Wanger Productions,Action-Romance-Thriller-War
13150,1996,The Odyssey of Life: The Photographer's Secrets: Nova,,,,,,Documentary-Biography
13151,2002,Britney Baby,78,5.6,Ludi Boeken,Jonathan Bourne,Arte France Cinéma-Duo Films-Hungry Eye Lowland Pictures B.V.-Raphael Films,Comedy
13152,2001,The Concert for New York City,296,6.2,Louis J. Horvitz-Woody Allen-Edward Burns,Dave Boone-Christian Charles-Paul Flattery,VH1 Television,Documentary-Music
13153,2002,Wish You Were Dead,,,,,,
13154,2003,The Roman Spring of Mrs. Stone,114,6.4,Robert Allan Ackerman,Martin Sherman-Tennessee Williams,Showtime Networks-Blackjack Productions-Irish Film Industry Investment Incentives,Drama-Romance
13155,2000,The In Crowd,105,4.7,Mary Lambert,Mark Gibson-Philip Halprin,Morgan Creek Entertainment,Drama-Mystery-Thriller
13156,2000,Bloody Beach,91,4.9,In Soo Kim,Seung-jae Baek-Jin-soo Noh-Mi-young Park,Koo-aen Films,Crime-Horror-Mystery-Thriller
13157,2004,Poker for Dummies,50,5.7,Andrea Ambandos,,Winnercomm Inc.,Documentary
13158,1999,Paul Robeson: Here I Stand,,8.2,St. Clair Bourne,,Eagle Rock Entertainment-WNET Channel 13 New York,Documentary-Biography
13159,1995,Jack-O,88,2.9,Steve Latshaw,Patrick Moran-Fred Olen Ray-Brad Linaweaver,American Independent Productions,Horror
