id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres
8991,1965,Tokyo Olympiad,170,8.0,Kon Ichikawa,Kon Ichikawa-Yoshio Shirasaka-Shuntarô Tanikawa,Organizing Committee for the Games of the XVIII Olympiad-Toho Company,Documentary-Sport
8992,1995,The Cinder Path,,,,,,
8993,2005,Family Guy Presents: Stewie Griffin: The Untold Story,88,7.7,Pete Michels-Peter Shin,Seth MacFarlane-Seth MacFarlane-David Zuckerman,20th Century Fox Television-Fox Television Animation-Fuzzy Door Productions-Twentieth Century Fox Animation-Twentieth Century Fox,Animation-Adventure-Comedy
8994,2004,A Fond Kiss,104,7.1,Ken Loach,Paul Laverty,Bianca Film-Cinéart-Glasgow Film Office-Matador Pictures-Scottish Screen-Sixteen Films-Tornasol Films,Drama-Romance
8995,1999,Getting Personal,,,,,,
8996,2004,10 Tokyo Warriors,,,,,,
8997,1992,Mystery Science Theater 3000: Teenagers from Outer Space,94,8.6,Kevin Murphy,Joel Hodgson-Michael J. Nelson-Trace Beaulieu,Best Brains,Comedy-Sci-Fi
8998,1962,The Twilight Zone: Vol. 40,,,,,,
8999,2001,Solo Mia,100,6.1,Javier Balaguer,Javier Balaguer-Álvaro García Mohedano,Star Line TV Productions S.L.-Televisión Española-Troto Internaciónal-Vía Digital,Drama
9000,1996,Homeward Bound 2: Lost in San Francisco,88,5.9,David R. Ellis,Chris Hauty-Julie Hickson-Sheila Burnford,Walt Disney Pictures-City Dogs Productions,Adventure-Comedy-Family-Romance
9001,1915,Chaplin's Essanay Comedies: Vol. 3,,,,,,
9002,1998,Nostradamus: A Voice from the Past,60,5.0,,,,
9003,1980,Private Benjamin,109,6.1,Howard Zieff,Nancy Meyers-Charles Shyer-Harvey Miller,Warner Bros.,Comedy-War
9004,2003,Speedo: POV,,,,,,
9005,1987,The Principal,109,6.3,Christopher Cain,Frank Deese,TriStar Pictures-Dorica Film-ML Delphi Premier Productions,Action-Crime-Drama-Thriller
9006,2004,R.E.M.: Perfect Square,143,8.6,Julia Knowles,,Warner Vision Entertainment,Music
9007,2003,Endgame,,5.3,Giselle Fernandez,Peter Lalonde,,Action-Drama-Fantasy-Thriller-War
9008,1969,The Reivers,112,6.8,Mark Rydell,William Faulkner-Harriet Frank Jr.-Irving Ravetch,Cinema Center Films-Duo Films-Solar Productions,Comedy-Drama
9009,1981,Danger Mouse: Seasons 1 & 2,,,,,,
9010,1994,Nightfighters: The True Story of the 332nd Fighter Group -- The Tuskegee Airmen,,,,,,
9011,1997,Under the Lighthouse Dancing,94,5.8,Graeme Rattigan,David Giles-Graeme Rattigan,Silver Turtle Films,Drama
9012,2004,Dora the Explorer: Dora's Fairytale Adventure,47,5.9,,,Sesame Workshop,Animation-Adventure-Comedy-Family-Musical
9013,2000,Roughnecks: The Starship Troopers Chronicles: The Tophet Campaign,,,,,,
9014,1939,Stagecoach,96,7.9,John Ford,Ernest Haycox-Dudley Nichols-Ben Hecht,Walter Wanger Productions,Adventure-Drama-Western
9015,2004,Cruel Intentions 3,85,4.7,Scott Ziehl,Rhett Reese,Original Film-Newmarket Capital Group-Newmarket Productions,Drama
9016,1997,The Man I Love,91,6.9,Stéphane Giusti,Stéphane Giusti,Ellipse Animation-La Sept-Arte-Onya Film Production,Drama-Romance-Sport
9017,1945,Blood on the Sun,98,6.2,Frank Lloyd,Lester Cole-Nathaniel Curtis-Garrett Fort,William Cagney Productions,Drama-Romance-Thriller-War
9018,1973,The Iceman Cometh,239,7.4,John Frankenheimer,Thomas Quinn Curtiss-Eugene O'Neill,Cinévision Ltée-The American Film Theatre,Drama
9019,1993,The Ballad of Little Jo,121,6.9,Maggie Greenwald,Maggie Greenwald,Joco-PolyGram Filmed Entertainment,Drama-Romance-Western
9020,1999,Storm Catcher,95,4.3,Anthony Hickox,Bill Gucwa-Ed Masterson,Franchise Pictures-Phoenician Entertainment-Stormy Productions Inc.,Action-Thriller
9021,2000,La Ley De Herodes,,,,,,
9022,2003,Not on the Lips,115,6.4,Alain Resnais,André Barde,Arena Films-France 2 Cinéma-France 3 Cinéma-Arcade-Vega Film-Canal+-CinéCinéma-Télévision Suisse-Romande (TSR)-La Région Île-de-France-Eurimages,Comedy-Musical-Romance
9023,1997,Oz: Season 1,,,,,,
9024,1998,Shadrach,88,6.4,Susanna Styron,William Styron-Susanna Styron-Bridget Terry,Millennium Films-Tidewater Pictures Inc.,Drama
9025,1993,City Hunter,105,6.5,Jing Wong,Tsukasa Hôjô-Jing Wong,Golden Harvest Company-Golden Way Films Ltd.-Paragon Films Ltd.,Action-Comedy-Crime
9026,1968,A Midsummer Night's Dream,124,6.4,Peter Hall,William Shakespeare,Filmways Pictures-Royal Shakespeare Enterprises Ltd.,Comedy-Fantasy-Romance
9027,1986,Poltergeist II / Poltergeist III: Double Feature,,,,,,
9028,1992,Jersey Girl,95,6.1,David Burton Morris,Gina Wendkos,Interscope,Comedy-Drama-Romance
9029,1997,Nil by Mouth,128,7.4,Gary Oldman,Gary Oldman,SE8 Group-EuropaCorp,Drama
9030,1987,The Flaming Brothers,99,6.4,Tung Cho 'Joe' Cheung,Jeffrey Lau-Kar-Wai Wong,Golden Harvest Company-In-Gear Film,Action-Crime-Romance
9031,1944,Wing and a Prayer,97,6.8,Henry Hathaway,Jerome Cady-Jerome Cady-Mortimer Braus,Twentieth Century Fox,Action-Drama-War
9032,1985,Brewster's Millions,102,6.5,Walter Hill,George Barr McCutcheon-Herschel Weingrod-Timothy Harris,Universal Pictures-Davis Entertainment-Lawrence Gordon Productions-Silver Pictures,Comedy
9033,2003,Passionada,,,,,,
9034,1951,Early Summer,125,8.2,Yasujirô Ozu,Kôgo Noda-Yasujirô Ozu,Shochiku,Drama
9035,1999,Forever Mine,115,5.3,Paul Schrader,Paul Schrader,Forever Mine (UK) Limited-J&M Entertainment-Moonstar Entertainment,Crime-Drama-Romance-Thriller
9036,2003,Dead End,85,6.6,Jean-Baptiste Andrea-Fabrice Canepa,Jean-Baptiste Andrea-Fabrice Canepa,Sagittaire Films-Captain Movies,Adventure-Horror-Mystery-Thriller
9037,1970,Love Story,100,6.9,Arthur Hiller,Erich Segal,Paramount Pictures-Love Story Company,Drama-Romance
9038,2004,UFC 45: Ultimate Fighting Championship: Revolution,,,,,,
9039,2004,The Boston Red Sox: 2004 World Series Collector's Edition,,,,,,
9040,1999,The Sixth Sense: Bonus Material,,,,,,
9041,1957,Gunfight at the O.K. Corral,122,7.2,John Sturges,Leon Uris-George Scullin,Wallis-Hazen,Biography-Drama-Western
9042,1957,Paths of Glory,88,8.4,Stanley Kubrick,Stanley Kubrick-Calder Willingham-Jim Thompson,Bryna Productions,Drama-War
9043,1981,Arthur,97,6.9,Steve Gordon,Steve Gordon,Orion Pictures-Jack Rollins & Charles H. Joffe Productions,Comedy-Romance
9044,2002,Fidel,206,6.5,David Attwood,Stephen Tolkin-Georgie Anne Geyer-Robert E. Quirk,Showtime Networks,Biography-Drama
9045,1987,Howling 3: The Marsupials,94,3.2,Philippe Mora,Gary Brandner-Philippe Mora,Bancannia Holdings Pty. Ltd.,Comedy-Horror
9046,1990,Dances With Wolves: Special Edition: Bonus Material,,,,,,
9047,2002,Manor House,50,8.4,Nick Murphy-Caroline Ross-Pirie,,Channel 4 Television Corporation-Wall to Wall Television,Documentary-History-Reality-TV
9048,2003,Capturing the Friedmans,107,7.8,Andrew Jarecki,,HBO Documentary-Notorious Pictures,Documentary-Biography
9049,1997,Boogie Nights,155,7.9,Paul Thomas Anderson,Paul Thomas Anderson,New Line Cinema-Lawrence Gordon Productions-Ghoulardi Film Company,Drama
9050,2002,The Job,,,,,,
9051,1980,Caddyshack,98,7.3,Harold Ramis,Brian Doyle-Murray-Harold Ramis-Douglas Kenney,Orion Pictures,Comedy-Sport
9052,2001,Dave Matthews Band: The Videos: 1994-2001,48,8.5,Ken Fox-David Hogan-Wayne Isham,,Crush Digital Video,Music
9053,2001,The Item,,,,,,
9054,2004,The Flight of the Phoenix,113,6.1,John Moore,Lukas Heller-Scott Frank-Edward Burns,Twentieth Century Fox-Aldrich Group-Davis Entertainment-Optional Pictures,Action-Adventure-Drama-Thriller
9055,2001,Follow That Bird,,,,,,
9056,1985,Into the Night,115,6.5,John Landis,Ron Koslow,Universal Pictures,Comedy-Drama-Thriller
9057,1999,The Brutal Truth,,,,,,
9058,1980,Bronco Billy,116,6.1,Clint Eastwood,Dennis Hackin,Warner Bros.-Second Street Films,Action-Adventure-Comedy-Drama-Romance-Western
9059,1994,A Troll in Central Park,76,5.4,Don Bluth-Gary Goldman,Stu Krieger-Don Bluth-Gary Goldman,Don Bluth,Animation-Adventure-Comedy-Family-Fantasy-Musical
9060,1976,The Killer Meteors,104,5.2,Wei Lo,Lung Ku,Lo Wei Motion Picture Company,Action-Thriller
9061,1948,Rope,80,8.0,Alfred Hitchcock,Hume Cronyn-Patrick Hamilton-Arthur Laurents,Warner Bros.-Transatlantic Pictures,Crime-Drama-Mystery-Thriller
9062,1991,Madonna: Truth or Dare,120,6.2,Alek Keshishian,,Boy Toy-Miramax-Propaganda Films,Documentary-Music
9063,2004,Shura no Toki,22,7.9,,Dan Green-Marc Thompson,Studio Comet-Studio Jack,Animation-Action-Comedy-Drama-History
9064,1997,Colors Straight Up,94,7.2,Michèle Ohayon,Michèle Ohayon,Echo Pictures,Documentary
9065,1996,Sunset Park,99,5.9,Steve Gomer,Seth Zvi Rosenfeld-Kathleen McGhee-Anderson,TriStar Pictures-Daniel L. Paulson Productions-Jersey Films,Drama-Sport
9066,1979,Meteor,108,5.0,Ronald Neame,Stanley Mann-Edmund H. North-Edmund H. North,American International Pictures-Meteor Joint Venture-Palladium Productions-Shaw Brothers,Action-Drama-Sci-Fi-Thriller
9067,1994,God of Gamblers Return,126,6.8,Jing Wong,Jing Wong,Win's Movie Productions Ltd.,Action-Comedy-Drama
9068,1985,Sylvester,104,6.5,Tim Hunter,Carol Sobieski,Columbia Pictures-Rastar Pictures,Drama-Family
9069,2004,It's Alive 2: It Lives Again / It's Alive 3: Island of the Alive,,,,,,
9070,1992,Memoirs of an Invisible Man,99,6.0,John Carpenter,H.F. Saint-Robert Collector-Dana Olsen,Warner Bros.-Canal+-Regency Enterprises-Alcor Films-Cornelius Productions,Comedy-Romance-Sci-Fi-Thriller
9071,2003,Have You Heard: Jim Croce Live,70,8.7,,,,Music
9072,1997,Fierce Creatures,93,6.4,Fred Schepisi-Robert Young,John Cleese-Iain Johnstone-Terry Jones,Universal Pictures-Fish Productions-Jersey Films,Comedy
9073,2002,Dawg,83,5.0,Victoria Hochberg,Ken Hastings,Gold Circle Films,Drama-Comedy-Romance
9074,1986,Heartbreak Ridge,130,6.8,Clint Eastwood,James Carabatsos-Dennis Hackin-Joseph Stinson,Jay Weston Productions-The Malpaso Company,Drama-War
9075,1969,Go,,,,,,
9076,1954,Samurai Trilogy 1: Musashi Miyamoto,,,,,,
9077,2003,Live Forever,82,7.2,John Dower,John Dower,Passion Pictures,Documentary-Music
9078,2003,Wheel of Time,81,7.2,Werner Herzog,Werner Herzog,Werner Herzog Filmproduktion-West Park Pictures Produktion-ARTE-Gesellschaft zur Förderung Buddhistischer Werte (GFBW )-Dario de Luca Tipota Movie Company,Documentary
9079,2004,Shiner,89,3.1,Christian Calson,Christian Calson,Bruiser Films LLC-Nebunule Films LLC,Drama
9080,2000,Autumn in New York,103,5.6,Joan Chen,Allison Burnett,Metro-Goldwyn-Mayer (MGM)-Lakeshore Entertainment,Drama-Romance
9081,1984,Sunday in the Country,90,7.8,Bertrand Tavernier,Pierre Bost-Bertrand Tavernier-Colo Tavernier,Films A2-Little Bear-Sara Films,Drama
9082,1973,The Last of Sheila,120,7.3,Herbert Ross,Stephen Sondheim-Anthony Perkins,Warner Bros.,Crime-Drama-Mystery-Thriller
9083,1967,Ram Aur Shyam,171,7.4,Tapi Chanakya,Kaushal Bharati-Narasa Raju D.V.-Narasa Raju D.V.,Vijaya International,Comedy-Drama-Family
9084,2000,MTV Unplugged: Mana,40,4.2,Jeb Brien-Lawrence Jordan-Milton Lage,Jim Burns-Robert Small,,Music-Short
9085,1999,My Sweet Suicide,78,5.5,David Flanagan,David Flanagan,Terence Michael Productions,
9086,1993,Bare Exposure,86,4.1,Rafe M. Portilo,Jalee Bailey,HollyDream Productions-New City Releasing,Comedy
9087,1992,Hero,119,6.5,Stephen Frears,Laura Ziskin-Alvin Sargent-David Webb Peoples,Columbia Pictures,Comedy-Drama-Romance
9088,2004,Tony Hawk's Secret Skatepark Tour,,,,,,
9089,1975,The Apple Dumpling Gang,100,6.4,Norman Tokar,Don Tait-Jack M. Bickham,Walt Disney Productions,Comedy-Family-Western
9090,2001,Trouble Every Day,101,6.0,Claire Denis,Claire Denis-Jean-Pol Fargeau,Arte France Cinéma-Arte-Canal+-Centre National de la Cinématographie-Dacia Films-Kinetique-Messaouda Films-Rézo Films-Rézo Productions-Zweites Deutsches Fernsehen,Drama-Horror-Thriller
9091,1967,At Last the 1948 Show,30,7.8,,Tim Brooke-Taylor-Graham Chapman-John Cleese,Associated-Rediffusion Television,Comedy
9092,1994,Miracle on 34th Street,114,6.5,Les Mayfield,Valentine Davies-George Seaton-George Seaton,Twentieth Century Fox-Hughes Entertainment,Family-Fantasy
9093,2004,Serial Killing 101,89,5.3,Trace Slobotkin,Dave Gist-Trace Slobotkin,Parlay Productions,Comedy-Horror-Mystery-Thriller
9094,2002,Maryam,87,7.0,Ramin Serry,,Centre Street-Streetlight Films,Drama
9095,1997,In the Company of Men,97,7.2,Neil LaBute,Neil LaBute-Neil LaBute,Alliance Atlantis Communications-Fair and Square Productions,Comedy-Drama
9096,2001,Thomas in Love,,,,,,
9097,1986,Gung Ho,112,6.2,Ron Howard,Edwin Blum-Lowell Ganz-Babaloo Mandel,Paramount Pictures,Comedy-Drama
9098,1988,A Cry in the Dark,120,6.9,Fred Schepisi,John Bryson-Robert Caswell-Fred Schepisi,Cannon Entertainment-Golan-Globus Productions-Cinema Verity-Evil Angels Films-Warner Bros.,Biography-Drama
9099,1988,Storm Chasers,,,,,,
9100,1983,Les Comperes,92,7.0,Francis Veber,Francis Veber,Fideline Films-DD Productions-EFVE,Comedy-Crime
9101,1991,Northern Exposure: Season 3,,,,,,
9102,1989,Kiki's Delivery Service: Bonus Material,,,,,,
9103,1914,Tillie's Punctured Romance,82,7.0,Mack Sennett-Charles Bennett,Hampton Del Ruth-Craig Hutchinson-Mack Sennett,Keystone Film Company,Comedy
9104,2001,Echo and the Bunnymen: Live in Liverpool,,,,,,
9105,2005,A Slice of Terror,50,6.2,Stuart Taylor,Allison Erkelens-Miranda Leigh,New Dominion Pictures-Discovery Channel,Documentary-Biography-Crime-Drama-History-Mystery-Thriller
9106,1944,Murder,,,,,,
9107,1993,Handel: The Messiah: Choir of King's College,,,,,,
9108,2002,Love Liza,90,7.0,Todd Louiso,Gordy Hoffman,Kinowelt Filmproduktion-Wild Bunch-StudioCanal-Muse Productions-Blacklist Films-Starhaus Filmproduktion,Comedy-Drama
9109,1988,Cocoon: The Return,116,5.4,Daniel Petrie,David Saperstein-Stephen McPherson-Elizabeth Bradley,Zanuck/Brown Productions-Twentieth Century Fox,Adventure-Comedy-Mystery-Romance-Sci-Fi
9110,1998,The Horse Whisperer,169,6.6,Robert Redford,Nick Evans-Eric Roth-Richard LaGravenese,Touchstone Pictures-Wildwood Enterprises,Drama-Romance-Western
9111,1997,Kiss the Girls,115,6.6,Gary Fleder,James Patterson-David Klass,Paramount Pictures-Rysher Entertainment,Crime-Drama-Mystery-Thriller
9112,1999,The Corruptor,110,6.0,James Foley,Robert Pucci,New Line Cinema-Illusion Entertainment Group,Action-Crime-Drama-Mystery-Thriller
9113,1979,A Little Romance,110,7.5,George Roy Hill,Allan Burns-Claude Klotz-George Roy Hill,Orion Pictures-Pan Arts-Trinacra Films,Adventure-Comedy-Romance
9114,2003,Killer Flood: The Day the Dam Broke,120,3.8,Doug Campbell,Peter Beckwith-Joseph Broido-Doug Campbell,PorchLight Entertainment-Edgewood Studios,Action-Drama-Thriller
9115,1934,Laurel & Hardy: March of the Wooden Soldiers,77,7.3,Gus Meins-Charley Rogers,Frank Butler-Nick Grinde-Anna Alice Chapin,Hal Roach Studios-Metro-Goldwyn-Mayer (MGM),Comedy-Family-Fantasy-Musical
9116,1994,With Honors,101,6.7,Alek Keshishian,William Mastrosimone,Spring Creek Productions-Warner Bros.,Comedy-Drama
9117,1997,Virasat,165,7.5,Priyadarshan,Kamal Haasan-Vinay Shukla-Vinay Shukla,M.R. Productions,Drama-Family-Musical-Romance
9118,2004,Pokemon: Journey to the Johto League Champion: Vol. 7: Journey's End,,,,,,
9119,1972,The Sorrow and the Pity,,,,,,
9120,1963,The Sword in the Stone,79,7.2,Wolfgang Reitherman,Bill Peet-T.H. White,Walt Disney Productions,Animation-Adventure-Comedy-Family-Fantasy-Musical
9121,1954,Apache,91,6.4,Robert Aldrich,James R. Webb-Paul Wellman,Hecht-Lancaster Productions,Western
9122,1933,Counsellor at Law,82,7.6,William Wyler,Elmer Rice-Elmer Rice,Universal Pictures,Comedy-Drama
9123,2004,Eight Clouds Rising,,,,,,
9124,1996,Underworld,95,4.9,Roger Christian,Larry Bishop,Trimark Pictures-Keystone Pictures-Underworld Films,Comedy-Thriller
9125,2001,Hearts in Atlantis,101,6.9,Scott Hicks,Stephen King-William Goldman,Castle Rock Entertainment-Village Roadshow Pictures-NPV Entertainment,Drama-Mystery
9126,2002,Sabretooth,120,3.5,James D.R. Hickox,Scott Vandiver-Tom Woosley,International Film Group-Sabretooth Productions Inc.,Horror-Sci-Fi
9127,2004,VeggieTales: An Easter Carol,49,6.8,Tim Hodge,Keith Lango-Tim Hodge,Warner Home Video-Big Idea Productions,Animation-Comedy-Drama-Family-Fantasy-Musical
9128,1965,Lost in Space: Season 1,,,,,,
9129,2005,The Boys and Girl from County Clare,,,,,,
9130,1990,A Chinese Ghost Story 2,104,7.0,Siu-Tung Ching,Kan Keito-Kee-To Lam-Tai-Mok Lau,Film Workshop,Action-Comedy-Fantasy-Romance
9131,1990,Air America,113,5.8,Roger Spottiswoode,Christopher Robbins-John Eskow-Richard Rush,Carolco Pictures-IndieProd Company Productions,Action-Comedy
9132,1991,L.A. Story,95,6.7,Mick Jackson,Steve Martin,Carolco Pictures-IndieProd Company Productions-L.A. Films,Comedy-Drama-Fantasy-Romance
9133,1997,Sharpe 14: Sharpe's Waterloo,101,8.1,Tom Clegg,Charles Wood-Bernard Cornwell,Carlton Television-Celtic Films-Picture Palace,Action-Adventure-History-War
9134,2004,A Day Without a Mexican,100,4.8,Sergio Arau,Sergio Arau-Yareli Arizmendi-Sergio Guerrero,Eye On The Ball Films-Instituto Mexicano de Cinematografía-Jose and Friends Inc.-Plural Entertainment-RTG Productions,Comedy-Drama-Fantasy-Mystery
9135,1988,Rumpole of the Bailey: Series 5,,,,,,Mystery
9136,2001,Charlotte Gray,121,6.4,Gillian Armstrong,Sebastian Faulks-Jeremy Brock,Ecosse Films-FilmFour-Pod Film-Senator Film Produktion,Drama-Romance-Thriller-War
9137,1999,Lured Innocence,,,,,,
9138,1999,The White River Kid,99,4.7,Arne Glimcher,John Fergus Ryan-David Leland,Franchise Pictures-St. Mortimer Productions Inc.,Comedy
9139,2002,Standing in the Shadows of Motown: Bonus Material,,,,,,
9140,2003,Shredder,,,,,,
9141,2002,Full Metal Panic!,24,7.7,,Shôji Gatô-Fumihiko Shimo,Gonzo,Action-Comedy-Romance-Sci-Fi-Animation
9142,1988,Saturday the 14th Strikes Back,78,2.9,Howard R. Cohen,Howard R. Cohen,Pacific Trust,Comedy-Fantasy-Horror-Sci-Fi
9143,1998,Queen Emeraldas,120,6.9,Yûji Asada,Gray G. Haddock-Mugi Kamio-Leiji Matsumoto,,Animation-Sci-Fi
9144,1974,Gone in 60 Seconds,105,6.5,H.B. Halicki,H.B. Halicki,H.B. Halicki Mercantile,Action-Crime-Drama-Thriller
9145,2005,Alicia Keys: Unplugged,4,5.4,Alex Coletti,,,Short-Music
9146,1998,The Rugrats Movie,79,5.9,Igor Kovalyov-Norton Virgien,David N. Weiss-J. David Stem-Arlene Klasky,Paramount Pictures-Nickelodeon Movies-Klasky-Csupo-Columbia Pictures,Animation-Adventure-Comedy-Drama-Family-Musical
9147,1986,The Care Bears Movie II: A New Generation,76,5.4,Dale Schott,Peter Sauder,Nelvana-LBS Communications,Animation-Adventure-Comedy-Family-Fantasy-Musical
9148,1991,A Night at the Opera,,,,,,
9149,2000,Ping!,93,4.1,Chris Baugh,Albert Ruis,Spearhead Enterprises,Comedy
9150,2003,CSI: Miami: Season 2,,,,,,
9151,2002,Wishcraft,102,5.2,Danny Graves-Richard Wenk,Larry Katz,Gold Circle Films,Horror
9152,1990,Fire Birds,85,4.7,David Green,Step Tyner-John K. Swensson-Dale Dye,Nova International Films-Touchstone Pictures,Action-Adventure
9153,2003,Slaves of the Realm,99,3.4,Lloyd A. Simandl,Chris Hyde,North American Pictures,Fantasy-Action-Adventure
9154,1984,Sheena,117,4.9,John Guillermin,David Newman-Lorenzo Semple Jr.-David Newman,Colgems Productions Ltd.-Columbia Pictures-Delphi II Productions,Adventure-Fantasy
9155,2002,A Charlie Brown Valentine,22,7.3,Bill Melendez,Charles M. Schulz-Charles M. Schulz,Lee Mendelson Film Productions-Charles M. Schulz Creative Associates-United Media Productions,Animation-Comedy-Family-Romance
9156,2002,Dragonfly,104,6.1,Tom Shadyac,Brandon Camp-Mike Thompson-David Seltzer,Universal Pictures-Spyglass Entertainment-Gran Via-Shady Acres Entertainment-Kalima Productions GmbH & Co. KG-NDE Productions,Drama-Fantasy-Mystery-Romance-Thriller
9157,1998,Fear Faith Revenge 303,,,,,,
9158,1994,Smashing Pumpkins: Vieuphoria,90,8.4,Modi,,,Documentary-Music
9159,2000,Crest of the Stars,,,,,,
9160,2002,Treasure Planet,95,7.2,Ron Clements-John Musker,Robert Louis Stevenson-Ron Clements-John Musker,Walt Disney Feature Animation-Walt Disney Pictures,Animation-Adventure-Family-Sci-Fi
9161,1997,Animation Greats,,,,,,
9162,1991,K.D. Lang: Harvest of Seven Years -- Cropped & Chronicled,,8.2,,,,
9163,1977,Hum Kisise Kum Nahim,169,7.2,Nasir Hussain,Sachin Bhowmick-Sachin Bhowmick-Nasir Hussain,Nasir Hussain Films-United Producers,Action-Comedy-Drama-Musical-Romance
9164,2004,Pimp My Ride: Season 1,,,,,,
9165,2002,Yu-Gi-Oh!: Season 2,,,,,,
9166,1997,Cheap Trick: Live in Australia,,7.5,,,,Documentary-Music
9167,1998,Major Saab,165,5.3,Tinnu Anand,Robin Bhatt-Robin Bhatt-Santosh Saroj,Amitabh Bachchan Corporation Limited,Action-Drama-Romance
9168,1999,Hot Boyz,,,,,,
9169,1966,A Funny Thing Happened on the Way to the Forum,99,7.0,Richard Lester,Melvin Frank-Michael Pertwee-Burt Shevelove,Melvin Frank Production,Comedy-Musical
9170,2001,Ghost World,111,7.4,Terry Zwigoff,Daniel Clowes-Daniel Clowes-Terry Zwigoff,United Artists-Granada Film Productions-Jersey Shore-Mr. Mudd-Advanced Medien-Capitol Films,Comedy-Drama
9171,1943,Val Lewton: I Walked with a Zombie / The Body Snatcher,,,,,,
9172,1996,Idiot Box,85,6.5,David Caesar,David Caesar,,Comedy-Crime-Drama
9173,2003,Midsomer Murders: Birds of Prey,100,7.5,Jeremy Silberston,Michael Russell-Caroline Graham,Pepper Post Production-Bentley Productions,Crime-Drama-Mystery
9174,1961,Rocky & Bullwinkle & Friends: Season 1,,,,,,
9175,1976,The Shootist,100,7.7,Don Siegel,Glendon Swarthout-Miles Hood Swarthout-Scott Hale,Paramount Pictures-Dino De Laurentiis Company,Drama-Romance-Western
9176,2001,Age of E,93,,Angeliki Giannakopoulos,,Horsepower Films,Documentary
9177,2002,Spider-Man: Bonus Material,,,,,,
9178,1979,Hardcore,108,7.0,Paul Schrader,Paul Schrader,A-Team-Columbia Pictures,Crime-Drama
9179,1962,Combat! Season 1: Campaign 2,,,,,,
9180,2002,Miranda,90,5.5,Marc Munden,Rob Young,Feelgood Films-Film Council-FilmFour-Senator Film Produktion,Comedy-Romance-Thriller
9181,1992,Khiladi,157,7.4,Abbas Alibhai Burmawalla-Mastan Alibhai Burmawalla,Aadesh K. Arjun-Saroj Khan-Saroj Khan,United Seven Combines-Venus Movies,Action-Musical-Mystery-Romance-Thriller
9182,2001,The Young and the Dead,,,,,,
9183,1994,Shopping,105,5.4,Paul W.S. Anderson,Paul W.S. Anderson,Channel Four Films-Impact Pictures-Kuzui Enterprises-PolyGram Filmed Entertainment-WMG Film,Action-Crime-Drama-Thriller
9184,1987,Karajan: Mozart: Don Giovanni,,,,,,
9185,2002,Dead Heat,94,5.4,Mark Malone,Mark Malone,Cinerenta Medienbeteiligungs KG-Lions Gate Films-Cinelaw-Infinity Entertainment-Mooseface Films Inc.-Province of British Columbia Film Incentive BC,Action-Comedy-Crime-Drama
9186,2004,Hittin' It!,81,3.0,David Daniel,Ron Rotholz-Brian Ash-Myles Reiff,Hit Films,Comedy
9187,2004,Sacred Planet,40,6.1,Jon Long,Karen Fernandez Long-Jon Long,Living Films-Southeast Asia Film Location Services Sdn. Bhd.-The Sacred Planet Project Ltd.-Walt Disney Pictures,Documentary-Short
9188,1988,Cocktail,104,5.9,Roger Donaldson,Heywood Gould,Touchstone Pictures-Silver Screen Partners III-Interscope Communications,Comedy-Drama-Romance
9189,1995,Crimson Tide,116,7.3,Tony Scott,Michael Schiffer-Richard P. Henrick-Michael Schiffer,Hollywood Pictures-Don Simpson/Jerry Bruckheimer Films,Action-Drama-Thriller-War
9190,2000,The Crossing,89,7.2,Robert Harmon,Howard Fast-Howard Fast,A&E Television Networks-Chris/Rose Productions-Columbia TriStar Television,Biography-Drama-History-War
9191,1972,Lone Wolf and Cub: Baby Cart in Peril,81,7.7,Buichi Saitô,Kazuo Koike-Goseki Kojima-Kazuo Koike,Toho Company,Action-Thriller
9192,1964,Gilligan's Island: Season 1,,,,,,
9193,1992,George Carlin: Doin' It Again,,,,,,
9194,2002,Deadly Outlaw: Rekka,96,6.8,Takashi Miike,Shigenori Takechi,Toei Video Company,Crime-Drama-Thriller
9195,1999,Bjork: All Is Full of Love,4,8.5,Chris Cunningham,,Black Dog Films,Short-Drama-Music-Sci-Fi
9196,2005,Truman Capote: The Tiny Terror,,,,,,
9197,2004,D.E.B.S.,91,5.3,Angela Robinson,Angela Robinson,Screen Gems-Anonymous Content-Andrea Sperling Productions-Destination Films,Action-Comedy-Romance
9198,1985,Another Country,,,,,,
9199,1974,Bring Me the Head of Alfredo Garcia,112,7.5,Sam Peckinpah,Gordon T. Dawson-Sam Peckinpah-Frank Kowalski,Optimus Films-Estudios Churubusco Azteca S.A.,Action-Crime-Drama-Thriller-Western
9200,2000,Masters of Russian Animation #2,,,,,,
9201,1996,Sabrina: The Teenage Witch,22,6.7,,Jonathan Schmock-Nell Scovell-Dan DeCarlo,Finishing the Hat-Hartbreak Films-Viacom Productions,Comedy-Family-Fantasy
9202,1963,It Happened at the World's Fair,105,6.1,Norman Taurog,Si Rose-Seaman Jacobs,Metro-Goldwyn-Mayer-Ted Richmond Productions,Comedy-Musical-Romance
9203,2000,Waiting for the Messiah,98,6.7,Daniel Burman,Daniel Burman-Emiliano Torres,Astrolabio Producciones S.L.-BD Cine,Comedy-Drama
9204,1990,Young Guns II,104,6.5,Geoff Murphy,John Fusco-John Fusco,Morgan Creek Entertainment-Eaves Movie Ranch-Film Partners 1,Action-Western
9205,1989,Turner and Hooch,97,6.1,Roger Spottiswoode,Dennis Shryack-Michael Blodgett-Dennis Shryack,Touchstone Pictures-Silver Screen Partners IV,Comedy-Crime-Drama-Thriller
