id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,rated
7409,1977.0,The Bad News Bears in Breaking Training,100.0,5.5,Michael Pressman,Paul Brickman-Bill Lancaster,Paramount Pictures,Comedy-Family-Sport,
7410,1997.0,Leonardo da Vinci: Renaissance Master,,8.5,,,Germane Creative,Documentary-Biography,
7411,1957.0,Le Notti Bianche,102.0,7.8,Luchino Visconti,Fyodor Dostoevsky-Suso Cecchi D'Amico-Luchino Visconti,Cinematografica Associati (CI.AS.)-Intermondia Films-Vides Cinematografica,Drama-Romance,
7412,1981.0,Dead and Buried,94.0,6.6,Gary Sherman,Jeff Millar-Alex Stern-Ronald Shusett,Barclays Mercantile Industrial Finance,Horror-Mystery,
7413,1959.0,4D Man,85.0,5.9,Irvin S. Yeaworth Jr.,Theodore Simonson-Cy Chermak-Jack H. Harris,Fairview Productions-Jack H. Harris Enterprises,Action-Horror-Romance-Sci-Fi-Thriller,
7414,1987.0,G.I. Joe: The Movie,93.0,7.1,Don Jurwich,Ron Friedman-Larry Hama-Stan Weston,Sunbow Productions-Marvel Productions-Hasbro,Animation-Action-Adventure-Family-Fantasy-Sci-Fi,
7415,1993.0,Inspector Morse 3: Service of All the Dead,,,,,,,
7416,1939.0,Gone with the Wind: Collector's Edition,,,,,,,
7417,1986.0,Under the Cherry Moon,100.0,5.0,Prince-Michael Ballhaus,Becky Johnston,Warner Bros.,Comedy-Drama-Music-Musical-Romance,
7418,2003.0,From Justin to Kelly: The Tale of Two American Idols,81.0,2.1,Robert Iscove,Kim Fuller,19 Entertainment,Comedy-Musical-Romance,
7419,1978.0,The Boys from Brazil,125.0,7.0,Franklin J. Schaffner,Ira Levin-Heywood Gould,Sir Lew Grade-Producers Circle-ITC Films,Drama-Thriller,
7420,1977.0,That Obscure Object of Desire,103.0,8.0,Luis Buñuel,Luis Buñuel-Jean-Claude Carrière-Pierre Louÿs,Greenwich Film Productions-Les Films Galaxie-In-Cine Compañía Industrial Cinematográfica,Comedy-Drama,
7421,1995.0,Space Ghost Coast to Coast: Vol. 2,,,,,,,
7422,1997.0,The Saltmen of Tibet,108.0,7.5,Ulrike Koch,Ulrike Koch,Bayerischer Rundfunk-Catpics Coproductions-Duran Film-Mitteldeutscher Rundfunk-Schweizer Fernsehen-Televisione Svizzera Italiana,Documentary,
7423,1987.0,Epidemic,106.0,6.1,Lars von Trier,Lars von Trier-Niels Vørsel,Elementfilm A/S-Det Danske Filminstitut,Drama-Horror,
7424,1946.0,The Big Sleep,114.0,8.0,Howard Hawks,William Faulkner-Leigh Brackett-Jules Furthman,Warner Bros.,Crime-Film-Noir-Mystery-Thriller,
7425,2005.0,Breaking the Da Vinci Code,63.0,4.7,David Priest,Joseph Meier,Grizzly Adams Productions-Shadow Play Films-Shadow Play Films,Documentary,
7426,1978.0,Dawn of the Dead: European Version,,,,,,,
7427,1992.0,The Larry Sanders Show: Season 1,,,,,,,
7428,2005.0,Bigger Than the Sky,106.0,6.1,Al Corley,Rodney Patrick Vaccaro,Code Entertainment-Coquette Productions-Neverland Films,Comedy-Drama-Romance,
7429,2000.0,The Most Terrible Time in My Life,,,,,,,
7430,2001.0,Six Feet Under: Season 1,,,,,,,
7431,1999.0,George Carlin: You are All Diseased,65.0,8.6,Rocco Urbisci,George Carlin,Cable Stuff Productions,Documentary-Comedy,
7432,1999.0,Greatest Places: IMAX,,,,,,,
7433,1995.0,Fallen Angels,99.0,7.7,Kar-Wai Wong,Kar-Wai Wong,Block 2 Pictures-Chan Ye-Cheng-Jet Tone Production,Comedy-Crime-Drama-Romance,
7434,1993.0,Swing Kids,112.0,6.8,Thomas Carter,Jonathan Marc Feldman,Hollywood Pictures-Touchwood Pacific Partners 1,Drama-Music,
7435,1987.0,Less Than Zero,98.0,6.4,Marek Kanievska,Bret Easton Ellis-Harley Peyton,Twentieth Century Fox-Amercent Films-American Entertainment Partners L.P.,Crime-Drama,
7436,1963.0,Lord of the Flies,92.0,7.0,Peter Brook,William Golding-Peter Brook,Two Arts Ltd.,Adventure-Drama-Thriller,
7437,1989.0,The Rachel Papers,95.0,6.1,Damian Harris,Damian Harris-Martin Amis,Initial Film and Television-Longfellow Pictures-Virgin,Drama-Romance,
7438,2003.0,Timecop 2: The Berlin Decision,81.0,4.9,Steve Boyum,Gary Scott Thompson-Mike Richardson-Mark Verheiden,Universal Studios Home Entertainment Family Productions-Capital Arts Entertainment-TE Encore Films,Action-Sci-Fi,
7439,1982.0,Barbarosa,90.0,6.5,Fred Schepisi,William D. Wittliff,Incorporated Television Company,Western,
7440,2004.0,Jewel: Live at Humphrey's by the Bay,,,,,,,
7441,2003.0,Perfect Strangers,96.0,5.3,Gaylene Preston,Gaylene Preston,Gaylene Preston Productions-Huntaway Films,Drama-Romance-Thriller,
7442,1999.0,Beowulf,95.0,4.1,Graham Baker,Anonymous-Mark Leahy-David Chappe,The Kushner-Locke Company-Capitol Films-Threshold Entertainment-European Motion Pictures Productions Ltd.,Action-Adventure-Fantasy-Horror-Sci-Fi-Thriller,
7443,1979.0,Roller Boogie,103.0,4.5,Mark L. Lester,Barry Schneider-Irwin Yablans,Compass International Pictures,Drama-Music,
7444,1978.0,Sgt. Pepper's Lonely Hearts Club Band,113.0,4.0,Michael Schultz,Henry Edwards-Tom O'Horgan-Robin Wagner,NF Geria II Filmgesellschaft m.b.H.-Robert Stigwood Organization,Adventure-Comedy-Fantasy-Musical,
7445,2004.0,Monk: Season 3,,8.2,,,,Documentary-Short,
7446,2001.0,The Office: Series 1: Bonus Material,,,,,,,
7447,1995.0,Indigo Girls: Watershed: Ten Years of Underground Video,,,,,,,
7448,1948.0,Abbott & Costello Meet Frankenstein,83.0,7.6,Charles Barton,Robert Lees-Frederic I. Rinaldo-John Grant,Universal International Pictures (UI),Comedy-Fantasy-Horror-Sci-Fi,
7449,2004.0,World in the Balance: Nova,,8.1,Sarah Holt-Jackie Mow-Chris Schmidt,Sarah Holt-Joel Olicker-Chris Schmidt,Powderhouse Productions,Documentary-Biography,
7450,1992.0,Mr. Saturday Night,119.0,5.8,Billy Crystal,Billy Crystal-Lowell Ganz-Babaloo Mandel,Castle Rock Entertainment-Face Productions-New Line Cinema,Comedy-Drama,
7451,1990.0,Funny About Love,101.0,5.0,Leonard Nimoy,Bob Greene-Norman Steinberg-David Frankel,Duffy Films-Paramount Pictures,Comedy-Romance,
7452,1989.0,Chopper Chicks in Zombietown,86.0,3.7,Dan Hoskins,Dan Hoskins,Chelsea Partners-Troma Entertainment,Comedy-Horror,
7453,2002.0,The Badge,103.0,6.2,Robby Henson,Robby Henson,Emmett/Furla/Oasis Films-Millennium Films-Propaganda Films-The Turman-Morrissey Company,Crime-Drama-Mystery-Thriller,
7454,1999.0,Hercules: The Legendary Journeys: Season 6,,,,,,,
7455,1974.0,Blood for Dracula,103.0,6.2,Paul Morrissey,Pat Hackett-Paul Morrissey-Bram Stoker,Compagnia Cinematografica Champion-Yanne et Rassam-Andy Warhol Presentation,Horror,
7456,1987.0,Ninja Checkmate,,,,,,,
7457,1991.0,Inspector Morse 16: Second Time Around,,,,,,,
7458,1999.0,Mummy (Documentary),,,Joely Collins-Mig Macario,Joely Collins-Mig Macario,Wunderkind Productions,,
7459,2000.0,God's Army,108.0,6.6,Richard Dutcher,Richard Dutcher,Zion Films,Drama,
7460,2002.0,The Day of the Wacko,93.0,8.1,Marek Koterski,Marek Koterski,Studio Filmowe Zebra-Vision Film Production-Non Stop Film Service-Agencja Produkcji Filmowej,Comedy-Drama-Romance,
7461,2002.0,Love Forbidden,96.0,5.5,Rodolphe Marconi,Rodolphe Marconi,Marconi Films-Zincou Films-Centre National de la Cinématographie,Drama,
7462,2001.0,Dancing at the Blue Iguana,,,,,,,
7463,1999.0,Strangers with Candy: Season 1,,,,,,,
7464,1967.0,Doctor Who: The Tomb of the Cybermen,24.0,8.3,Morris Barry,Kit Pedler-Gerry Davis-Sydney Newman,,Adventure-Drama-Family-Sci-Fi,
7465,2004.0,The Life,87.0,4.3,María Lidón,Adela Ibañez-Isabel Pisano,Dolores Pictures S.L.,Drama,
7466,1997.0,Beast City,,,,,,,
7467,1982.0,Best Friends,116.0,5.4,Norman Jewison,Valerie Curtin-Barry Levinson,Warner Bros.-Timberlane Productions-Major Studio Partners,Comedy-Drama-Romance,
7468,1964.0,Pajama Party,82.0,4.5,Don Weis,Louis M. Heyward,Alta Vista Productions,Comedy-Musical-Romance-Sci-Fi,
7469,1998.0,The Harryhausen Chronicles,60.0,7.7,Richard Schickel,Richard Schickel,Lorac Productions-Julian Seddon Films,Documentary,
7470,2000.0,Arabian Nights,175.0,7.5,Steve Barron,Peter Barnes,Hallmark Entertainment-Studio Babelsberg-RTL Television-Golden Horn Films-International Traders,Adventure-Family-Fantasy,
7471,1974.0,QB VII,390.0,7.9,Tom Gries,Edward Anhalt-Wilford Lloyd Baumes-Leon Uris,Douglas S. Cramer Company-Screen Gems,Drama-Mystery,
7472,2002.0,Safe Conduct,170.0,7.0,Bertrand Tavernier,Jean Cosmos-Jean Devaivre-Bertrand Tavernier,France 2 Cinéma-France 3 Cinéma-KC Medien-Les Films Alain Sarde-Little Bear-StudioCanal-Vertigo,Biography-Drama-History-War,
7473,1983.0,The Best of He-Man and the Masters of the Universe,30.0,7.5,,Jina Bacarr-John Berwick-Doug Booth,Filmation Associates-Mattel,Animation-Action-Adventure-Family-Fantasy-Sci-Fi,
7474,2000.0,South of Heaven,131.0,4.2,Dwight Yoakam,Dwight Yoakam-Dennis Hackin-Otto Felix,Delta Deuce Films-Movie Mongrel-Trimark Pictures,Drama-Western,
7475,1988.0,Running on Empty,116.0,7.7,Sidney Lumet,Naomi Foner,Double Play-Lorimar Film Entertainment,Crime-Drama-Music-Romance,
7476,1974.0,Space Battleship Yamato: The Movie,,,,,,,
7477,2002.0,Hunting Humans,89.0,4.5,Kevin Kangas,Kevin Kangas,Kangas Kahn Films-Marauder Productions,Drama-Horror-Mystery,
7478,1987.0,Tour of Duty: Season 1,,,,,,,
7479,1995.0,Attack of the 60 Foot Centerfold,84.0,3.4,Fred Olen Ray,Steve Armogida,American Independent Productions-Concorde-New Horizons,Action-Adventure-Comedy-Sci-Fi,
7480,1985.0,Night Train to Terror,98.0,3.9,John Carr-Phillip Marshak-Tom McGowan,Philip Yordan,Visto International Inc.,Horror,
7481,1997.0,Joe Cocker: Across From Midnight Tour,90.0,8.3,Egbert van Hees,,,Documentary-Music,
7482,2000.0,China Strike Force,103.0,5.3,Stanley Tong,Stanley Tong-Steven Whitney,Astoria Films-CMC Magnetics Corporation-China International Entertainment Limited-Golden Harvest Company,Action,
7483,1985.0,Real Genius,108.0,7.0,Martha Coolidge,Neal Israel-Neal Israel-Pat Proft,Delphi III Productions,Comedy-Romance-Sci-Fi,
7484,1997.0,Downtown Torpedoes,103.0,6.1,Teddy Chan,Zhi Feng Feng-Chi-Fung Fung-Jingle Ma,Golden Harvest Company,Action-Crime-Thriller,
7485,1988.0,Frantic,120.0,6.9,Roman Polanski,Roman Polanski-Gérard Brach-Robert Towne,Warner Bros.-The Mount Company,Crime-Drama-Mystery-Thriller,
7486,2003.0,Absolon,96.0,4.2,David De Bartolome,Brad Mirman,GFT Entertainment-Studio Eight Productions-Visionview Production-Canadian Film or Video Production Tax Credit (CPTC)-Ontario Film and Television Tax Credit (OFTTC),Sci-Fi-Action-Thriller,
7487,1961.0,The Children's Hour,108.0,7.8,William Wyler,Lillian Hellman-John Michael Hayes-Lillian Hellman,The Mirisch Corporation,Drama-Romance,
7488,1999.0,Love Letters,100.0,6.9,Stanley Donen,A.R. Gurney-A.R. Gurney,Marstar/Mandy Films,Drama,
7489,1998.0,Portland Street Blues,114.0,6.6,Wai Man Yip,Patrick Kong-Manfred Wong-Manfred Wong,Golden Harvest Company-B.O.B. and Partners-Everwide,Crime-Drama,
7490,1965.0,Benny Hill: Golden Greats,,,,,,,
7491,1994.0,Quiet Days in Hollywood,,,,,,,
7492,2003.0,Seven Signs of Christ's Return,,,,,,,
7493,1999.0,Detroit Rock City,95.0,6.9,Adam Rifkin,Carl V. Dupré,New Line Cinema-Takoma Entertainment Group-Base 12 Productions-KISS Nation-Corrupter Production Service Ltd.,Comedy-Music,
7494,1997.0,Jackie Brown: Collector's Series,,,,,,,
7495,1954.0,This Island Earth,,,,,,,
7496,2001.0,Sealab 2021: Season 1,,,,,,,
7497,2005.0,Masters of Poker: Annie Duke's Advanced Texas Hold 'em Secrets: How to Beat the Big Boys,,,,,,,
7498,1989.0,Rhea Gall Force,60.0,7.2,Katsuhito Akiyama,Hideki Kakinuma,Animate Film-Anime International Company-Artmic,Animation-Action-Adventure-Sci-Fi,
7499,1996.0,Independence Day: Bonus Material,,,,,,,
7500,2002.0,Mutant X: Season 2,,,,,,,
7501,1993.0,Stalingrad,134.0,7.5,Joseph Vilsmaier,Jürgen Büscher-Christoph Fromm-Johannes Heide,B.A. Produktion-Bavaria Film-Perathon Film-und Fernsehproduktions GmbH-Royal Film,Drama-War,
7502,2000.0,Waiting,80.0,5.9,Patrick Hasson,Patrick Hasson,Manayunk Pictures,Comedy,
7503,1999.0,Requiem for Murder,95.0,5.2,Douglas Jackson,Matt Dorff,Allegro Films-Canadian Film or Video Production Tax Credit-Government of Canada-Legend Entertainment-Libra Pictures-Super Écran-The Government of Quebec Income Tax Credit Program-The Movie Network,Thriller,
7504,1990.0,Rachmaninov / Tchaikovsky: Arkadi Zenziper,,,,,,,
7505,1995.0,Fushigi Yugi: The Mysterious Play,,8.0,,Yuu Watase,Pierrot-TV Tokyo-Yomiko Advertising,Animation-Adventure-Drama-Fantasy-Romance,
7506,1999.0,Kohram,150.0,5.4,Mehul Kumar,,NH Studioz,Action-Comedy-Drama-Thriller,
7507,2004.0,Samantha: An American Girl Holiday,86.0,7.2,Nadia Tass,Valerie Tripp,Red Om Films-Revolution Studios-Sam Films-Warner Bros. Television,Family-Drama,
7508,2001.0,Chillicothe,11.0,8.0,,,Blue Yonder Films,Documentary-Short,
7509,2002.0,Die Another Day,133.0,6.1,Lee Tamahori,Ian Fleming-Neal Purvis-Robert Wade,Eon Productions-Danjaq-Metro-Goldwyn-Mayer-United Artists,Action-Adventure-Thriller,
7510,2002.0,Ash Wednesday,99.0,5.9,Edward Burns,Edward Burns,IFC Productions-Marlboro Road Gang Productions,Crime-Drama,
7511,1998.0,Blade,120.0,7.1,Stephen Norrington,David S. Goyer,Amen Ra Films-Imaginary Forces-Marvel Enterprises-New Line Cinema,Action-Horror-Sci-Fi,
7512,2000.0,Poor White Trash,85.0,5.2,Michael Addis,Michael Addis-Tony Urban-Michael Addis,Kingsize Entertainment,Comedy-Crime,
7513,2003.0,The Life of David Gale,130.0,7.6,Alan Parker,Charles Randolph,Universal Pictures-Intermedia Films-Dirty Hands Productions-Mikona Productions GmbH & Co. KG-Saturn Films,Crime-Drama-Thriller,
7514,1923.0,The Hunchback of Notre Dame,133.0,7.3,Wallace Worsley,Victor Hugo-Perley Poore Sheehan-Edward T. Lowe Jr.,Universal Pictures,Drama-Horror-Romance,
7515,2002.0,Colorful!,,,,,,,
7516,1958.0,Hidden Fortress,139.0,8.1,Akira Kurosawa,Ryûzô Kikushima-Hideo Oguni-Shinobu Hashimoto,Toho Company,Adventure-Drama,
7517,1995.0,Before Sunrise,101.0,8.1,Richard Linklater,Richard Linklater-Kim Krizan,Castle Rock Entertainment-Detour Filmproduction-Filmhaus Wien Universa Filmproduktions-Sunrise Production-Columbia Pictures,Drama-Romance,
7518,2000.0,Scarlet Diva,91.0,5.2,Asia Argento,Asia Argento,Opera Film,Drama,
7519,2002.0,In Search of Ancient Ireland,162.0,8.0,Leo Eaton,Leo Eaton-Ailbhe Hines,Cafe Productions Ltd.-Educational Broadcasting Corporation-Little Bird Productions-Public Broadcasting Service-Thirteen / WNET-WNET Channel 13 New York,Documentary-History,
7520,1997.0,The Creeps,80.0,4.2,Charles Band,Neal Marshall Stevens,Full Moon Pictures-Tanna Productions,Comedy-Fantasy-Horror-Sci-Fi,
7521,2000.0,Scary Movie,88.0,6.2,Keenen Ivory Wayans,Shawn Wayans-Marlon Wayans-Buddy Johnson,Dimension Films-Wayans Bros. Entertainment-Gold/Miller Productions-Brad Grey Pictures,Comedy,
7522,2003.0,Pornografia,117.0,6.3,Jan Jakub Kolski,Luc Bondy-Gérard Brach-Witold Gombrowicz,Canal+ Polska-Canal+-Centre National de la Cinématographie (CNC)-Eurimages-MACT Productions-Telewizja Polska (TVP)-Wytwórnia Filmów Dokumentalnych i Fabularnych (WFDiF),Drama-Romance-War,
7523,1999.0,The Red Violin,,,,,,Talk-Show,
7524,2002.0,Slackers,86.0,5.3,Dewey Nicks,David H. Steinberg,Alliance Atlantis Communications-Destination Films-Original Film,Comedy-Romance,
7525,1992.0,Knight Moves,116.0,6.1,Carl Schenkel,Brad Mirman,Cineplex Odeon Films-Cinevox Filmproduktion GmbH-Ink Slinger Productions-Knight Moves Productions-Lamb Bear Entertainment,Crime-Drama-Mystery-Thriller,
7526,1998.0,When Love Comes,94.0,6.1,Garth Maxwell,Garth Maxwell-Rex Pilgrim-Peter Wells,MF Films,Drama-Romance,
7527,1979.0,The World of Drunken Master,98.0,5.8,Joseph Kuo,Shan-Hsi Ting,Hong Hwa International Films,Action-Drama,
7528,2003.0,Denise Austin: Shrink Your Female Fat Zones,,,,,,,
7529,1994.0,Sharpe 3: Sharpe's Company,100.0,8.0,Tom Clegg,Charles Wood-Bernard Cornwell,Celtic Films Entertainment-Central Independent Television-Picture Palace,Action-Adventure-History-War,
7530,2003.0,Good Times,,,,,,,
7531,1999.0,Evgeny Kissin: The Gift of Music,,,,,,,
7532,2003.0,National Lampoon's Gold Diggers,90.0,2.9,Gary Preisler,Gary Preisler-Michael Canale-Gary Preisler,Delfino Entertainment-National Lampoon Productions-Voyage Entertainment-Winston Davis and Associates,Comedy-Crime,
7533,1999.0,East Is East,96.0,6.9,Damien O'Donnell,Ayub Khan-Din-Ayub Khan-Din,FilmFour-British Broadcasting Corporation (BBC)-Assassin Films,Comedy-Drama,
7534,1987.0,Adventures in Babysitting,102.0,6.9,Chris Columbus,David Simkins,Touchstone Pictures-Silver Screen Partners III,Adventure-Comedy-Crime-Romance,
7535,1980.0,Sergeant Cribb: Set 1,,,,,,Mystery,
7536,1988.0,Sweet Hearts Dance,101.0,5.7,Robert Greenwald,Ernest Thompson,Brightstar Films-Chestnut Hill Productions-ML Delphi Premier Productions,Comedy-Drama-Romance,
7537,1935.0,The Wolf Man / Frankenstein Meets the Wolf Man: The Legacy Collection,,,,,,,
7538,2004.0,Iron Maiden: The Early Days,270.0,8.6,,,EMI,Music,
7539,1991.0,The Kids in the Hall: Season 3,,,,,,,
7540,2002.0,Todd Rundgren: Live in San Francisco,81.0,7.9,Jesse Block,,Alchemedia Productions,Music,
7541,2001.0,Kevin James: Sweat the Small Stuff,60.0,7.8,Paul Miller,Kevin James,Rickmill Productions,Documentary-Comedy,
7542,2004.0,Strayed,,,,,,,
7543,2001.0,Zaion: I Wish You Were Here,27.0,5.2,,Natsuko Takahashi,G.D.H.-Gonzo,Animation-Drama-Mystery-Romance-Sci-Fi,
7544,2002.0,Orange County,82.0,6.2,Jake Kasdan,Mike White,Paramount Pictures-MTV Films-Scott Rudin Productions,Comedy-Drama,
7545,1989.0,The War of the Roses,116.0,6.8,Danny DeVito,Warren Adler-Michael Leeson,Twentieth Century Fox-Gracie Films-Regency International Pictures,Comedy-Romance,
7546,1969.0,Astro Zombies,,,,,,,
7547,1949.0,She Wore a Yellow Ribbon,104.0,7.4,John Ford,James Warner Bellah-Frank S. Nugent-Laurence Stallings,Argosy Pictures,Western,
7548,2004.0,Divan,,,,,,,
7549,2005.0,Kaal,126.0,4.6,Soham Shah,Soham Shah-Soham Shah-Soham Shah,Dharma Productions-Dillywood-Red Chillies Entertainment,Adventure-Horror-Mystery-Sci-Fi-Thriller,
7550,1996.0,Big Wars,,,,,,,
7551,2003.0,Primus: Animals Should Not Try to Act Like People,,,,,,,
7552,1987.0,Three O'Clock High,97.0,7.2,Phil Joanou,Richard Christian Matheson-Tom Szollosi,Universal Pictures,Comedy,
7553,2004.0,Metallica: Some Kind of Monster: Bonus Material,,,,,,,
7554,2004.0,The Simple Life: Season 2,45.0,6.3,,Sasa Latinovic-Zli,20th Century Fox Film Corporation-Emotion-Hollydan Works-Radio Televizija Srbije-Twentieth Century Fox,Comedy-Reality-TV,
7555,1977.0,The Rescuers,78.0,6.9,John Lounsbery-Wolfgang Reitherman-Art Stevens,Margery Sharp-Larry Clemmons-Ken Anderson,Walt Disney Productions,Animation-Adventure-Comedy-Family-Fantasy,
7556,1969.0,Popi,113.0,6.8,Arthur Hiller,Tina Pine-Lester Pine,Herbert B. Leonard Productions,Comedy-Drama,
7557,1995.0,The Outer Limits: The New Series: Time Travel and Infinity,,,,,,,
7558,2000.0,Rancid Aluminum,91.0,3.6,Edward Thomas,James Hawes,Ballpark Productions Partnership-Entertainment Film Distributors-Fiction Factory,Comedy-Crime-Drama-Thriller,
7559,1996.0,Jane Street,90.0,5.3,Vicangelo Bulluck,Christopher Chisholm,,Drama,
7560,2002.0,New Best Friend,91.0,5.3,Zoe Clarke-Williams,Victoria Strouse,FGM Entertainment,Drama-Mystery-Thriller,
7561,1966.0,Su Excelencia,,,,,,,
7562,2005.0,Lost Reality 2: More of the Worst,,,,,,,
7563,1998.0,Primary Colors,143.0,6.7,Mike Nichols,Joe Klein-Elaine May,Award Entertainment-British Broadcasting Corporation-Hollywood Licensing Group-Icarus Productions-Marubeni-Mutual Film Company-Tele München Fernseh Produktionsgesellschaft-Toho-Towa-UGC PH-Universal Pictures,Comedy-Drama,
7564,1972.0,The Life of Leonardo Da Vinci,,,,,,,
7565,2002.0,Straight Up: Helicopters in Action: IMAX,42.0,7.0,David Douglas,David Douglas-Carl Knutson,SK Films-Smithsonian Institution's National Air and Space Musuem,Short-Documentary,
7566,1985.0,Friday the 13th: Part 5: A New Beginning,92.0,4.8,Danny Steinmann,Martin Kitrosser-David Cohen-Martin Kitrosser,Georgetown Productions Inc.-Paramount Pictures-Sean S. Cunningham Films-Terror Inc.,Horror-Mystery-Thriller,
7567,1985.0,Mussolini and I,120.0,6.4,,Nicola Badalucco-Alberto Negrin,Alan David Management-Beta Film-Filmalpha-France 2-Home Box Office-RAI Radiotelevisione Italiana-TVE Productions-Televisione Svizzera Italiana,Biography-Drama-War,
7568,1999.0,Postmen in the Mountains,93.0,7.9,Jianqi Huo,Wu Si,,Drama,
7569,2004.0,Dead Like Me: Season 2,,,,,,,
7570,1939.0,Made for Each Other,92.0,6.5,John Cromwell,Jo Swerling-Rose Franken-Frank Ryan,Selznick International Pictures,Comedy-Drama-Romance,
7571,1998.0,The Dreamlife of Angels,113.0,7.5,Erick Zonca,Erick Zonca-Roger Bohbot-Virginie Wagon,Diaphana Films-Les Productions Bagheera-France 3 Cinéma-Canal+-Centre National de la Cinématographie-La Fondation Gan pour le Cinéma-Procirep,Drama,
7572,1994.0,Trapped in Paradise,111.0,5.9,George Gallo,George Gallo,Permut Presentations-Twentieth Century Fox,Adventure-Comedy-Crime-Romance,
7573,2000.0,Kindred: The Embraced: The Complete Vampire Collection,,,,,,,
7574,2002.0,Ronald Reagan: A Legacy Remembered,,,,,,,
7575,1999.0,King of Comedy,85.0,7.3,Stephen Chow-Lik-Chi Lee,Stephen Chow-Erica Lee-Kan-Cheung Tsang,Star Overseas,Comedy-Drama-Romance,
7576,1953.0,Kiss Me Kate,109.0,7.2,George Sidney,Dorothy Kingsley-Sam Spewack-Bella Spewack,Metro-Goldwyn-Mayer (MGM),Comedy-Musical-Romance,
7577,2003.0,Horatio Hornblower: The New Adventures,,,,,,,
7578,1984.0,Who's the Boss?: Season 1,,,,,,,
7579,1994.0,The Glass Shield,109.0,6.5,Charles Burnett,Charles Burnett-John Eddie Johnson-Ned Welsh,CiBy 2000-Miramax,Crime-Drama,
7580,2004.0,UFC 50: Ultimate Fighting Championship: The War of '04,,,,,,,
7581,2001.0,In Desert and Wilderness,111.0,5.2,Gavin Hood,Gavin Hood-Henryk Sienkiewicz,,Adventure-Family,
7582,2000.0,The Road,89.0,6.9,Bibo Bergeron-Don Paul-Jeffrey Katzenberg,Terry Rossio-Ted Elliott-Karey Kirkpatrick,DreamWorks Animation-DreamWorks-Stardust Pictures,Animation-Adventure-Comedy-Family-Romance,
7583,1998.0,Overnight Delivery,87.0,6.2,Jason Bloom,Marc Sedaka-Steve Bloom,Motion Picture Corporation of America,Comedy-Romance,
7584,1993.0,Power of One,,,,,,,
7585,1989.0,Kill Me Again,94.0,6.3,John Dahl,John Dahl-David W. Warfield,Incorporated Television Company-Propaganda Films,Action-Crime-Drama-Thriller,
7586,1957.0,The Bridge on the River Kwai,161.0,8.2,David Lean,Pierre Boulle-Carl Foreman-Michael Wilson,Horizon Pictures,Adventure-Drama-War,
7587,1994.0,It's Pat: The Movie,77.0,2.7,Adam Bernstein,Julia Sweeney-Jim Emerson-Stephen Hibbert,Touchstone Pictures,Comedy,
7588,1988.0,They Live,94.0,7.3,John Carpenter,Ray Nelson-John Carpenter,Alive Films-Larry Franco Productions,Action-Horror-Sci-Fi-Thriller,
7589,1996.0,Big Night,109.0,7.3,Campbell Scott-Stanley Tucci,Stanley Tucci-Joseph Tropiano,Rysher Entertainment-Timpano Production,Drama-Romance,
7590,1987.0,Fatal Attraction,119.0,6.9,Adrian Lyne,James Dearden-James Dearden,Paramount Pictures,Drama-Thriller,
7591,1934.0,The John Wayne Collection: Vol. 2: Riders of Destiny / The Star Packer,,,,,,,
7592,2001.0,The Surge,,,,,,,
7593,2001.0,Reversal,,6.5,Alan Vint,Jimi Petulla,,Drama-Romance-Sport,
7594,1957.0,Nights of Cabiria,110.0,8.1,Federico Fellini,Federico Fellini-Ennio Flaiano-Tullio Pinelli,Dino de Laurentiis Cinematografica-Les Films Marceau,Drama,
7595,1992.0,Batman the Animated Series: Vol. 1,23.0,8.9,,Bob Kane-Eric Radomski-Tom Ruegger,Warner Bros. Animation-Warner Bros. Television,Animation-Action-Adventure-Family-Sci-Fi,
7596,1996.0,Absolutely Fabulous: Absolutely Special,,,,,,,
7597,1999.0,I Stand Alone,,,,,,,
7598,1972.0,Dr. Seuss: The Lorax,,,,,,,
7599,1966.0,The Endless Summer,95.0,7.8,Bruce Brown,Bruce Brown,Bruce Brown Films,Documentary-Sport,
7600,1993.0,In the Name of the Father,133.0,8.1,Jim Sheridan,Gerry Conlon-Terry George-Jim Sheridan,Hell's Kitchen Films-Universal Pictures,Biography-Drama,
7601,1943.0,Son of Dracula / House of Dracula,,,,,,,
7602,1999.0,Bats,91.0,3.7,Louis Morneau,John Logan,Destination Films,Horror-Sci-Fi-Thriller,
7603,1975.0,Doctor Who: Lost in Time: The William Hartnell Years,,,,,,,
7604,2001.0,Running Out of Time 2,95.0,5.9,Wing-Cheong Law-Johnnie To,Nai-Hoi Yau-Kin-Yee Au-Julien Carbon,China Star Entertainment-One Hundred Years of Film Company-Milky Way Image Company,Crime-Action,
7605,2004.0,Queer as Folk: Season 4,,,,,,,
7606,1980.0,The Long Riders,100.0,7.1,Walter Hill,Bill Bryden-Steven Smith-Stacy Keach,United Artists-Huka Productions,Biography-Crime-Western,
7607,2004.0,Dirty Dancing: Havana Nights,86.0,6.0,Guy Ferland,Kate Gunzinger-Peter Sagal-Boaz Yakin,Lions Gate Films-Miramax-Lawrence Bender Productions-A Band Apart-Havana Nights LLC-Artisan Entertainment,Drama-Music-Romance,
7608,2004.0,Saikano,152.0,4.2,Boopathy Pandian,Boopathy Pandian,Roja Combines,Drama,
7609,1998.0,Bear in the Big Blue House: Sleepy Time,,,,,,,
7610,1973.0,Benji,,,,,,,
